"Table","FieldEN","FieldVI","FHIR_Source","Role","Status","UsedFor"
"Dim_Date","DateKey","Khoa ngay","Generated","PK","Da dung trong PBIX","Join tat ca fact theo ngay"
"Dim_Date","Date","Ngay","Generated","Attr","Can co","Truc quan hoa theo ngay"
"Dim_Date","Month","Thang","Generated","Attr","Da dung trong PBIX","Slicer thang; Sum of Month"
"Dim_Date","MonthName","Ten thang","Generated","Attr","Can co","Nhan hien thi truc"
"Dim_Date","Quarter","Quy","Generated","Attr","Da dung trong PBIX","Slicer quy"
"Dim_Date","Year","Nam","Generated","Attr","Da dung trong PBIX","Slicer nam"
"Dim_Date","IsWeekend","Cuoi tuan","Generated","Attr","Tuy chon","Loc bao cao van hanh"
"Dim_Date","IsHoliday","Ngay le","Generated","Attr","Tuy chon","Loc bao cao van hanh"
"Dim_Patient","PatientID","Ma benh nhan","Patient.id","PK","Da dung trong PBIX (join)","Khoa noi voi moi fact"
"Dim_Patient","PatientName","Ten benh nhan","Patient.name","Attr","Can co","Drillthrough chi tiet BN"
"Dim_Patient","Gender","Gioi tinh","Patient.gender","Attr","Can co","Phan tich nhan khau hoc"
"Dim_Patient","DateOfBirth","Ngay sinh","Patient.birthDate","Attr","Can co","Tinh Age/AgeGroup"
"Dim_Patient","Age","Tuoi","Derived tu birthDate","Attr","Can co","Most Common Age Group"
"Dim_Patient","AgeGroup","Nhom tuoi","Derived tu Age","Attr","Da dung trong PBIX","Most Common Age Group (P3)"
"Dim_Patient","DeceasedFlag","Co tu vong","Patient.deceasedBoolean/DateTime","Attr","Can bo sung","Mortality Count/Rate (P6)"
"Dim_Patient","DeceasedDate","Ngay mat","Patient.deceasedDateTime","Attr","Can bo sung","Mortality Rate trend (P6)"
"Dim_Patient","City","Thanh pho/Quan","Patient.address.city","Attr","Da dung trong PBIX","Top Patient Region (P3)"
"Dim_Patient","Province","Tinh/Thanh","Patient.address.state","Attr","Can co","Top Patient Region (P3) muc tinh"
"Dim_Patient","ManagingOrganizationID","Ma to chuc quan ly","Patient.managingOrganization.reference","FK","Can co","Lien ket Dim_Organization"
"Dim_Practitioner","PractitionerID","Ma nhan su","Practitioner.id","PK","Da dung trong PBIX (join)","Khoa Fact_Encounter_Participant"
"Dim_Practitioner","PractitionerName","Ten nhan su","Practitioner.name","Attr","Da dung trong PBIX","Encounters/Procedures per Practitioner (P5)"
